sample_id,lake,basin,block,fish,distance,replicate,d13c,total_c_ug,d15n,total_n_ug,sample_mg,pct_c,pct_n
H2P-50z,H2P,H,2,P,50,z,-28.2182606396235,1358.40356753898,-0.8239290445280847,33.04992710920625,2.6945,50.413938301687885,1.226569942817081
K1P-10y,K1P,K,1,P,10,y,-26.64312829536273,1584.3790100388871,-4.4906040294959455,32.14207622799826,3.0365,52.17780372267042,1.058523834282834
K1P-25z,K1P,K,1,P,25,z,-28.786622890566143,1547.3924670718316,-0.967646391172059,27.04239871933937,2.9045,53.27569175664767,0.9310517720550653
K1A-10b,K1A,K,1,A,10,b,-29.947243381847983,1578.2110758800238,1.2080905919183413,34.84098316791546,3.0282,52.11713479558893,1.150550926884468
K1A-00a,K1A,K,1,A,0,a,-28.286619939136404,1369.336773261571,-4.273847621224518,25.461010890267712,2.6785,51.123269488951685,0.9505697550967972
H2P-05y,H2P,H,2,P,5,y,-28.826974705840534,1404.0364364018749,-4.163970985633261,37.71782752772907,2.7575,50.917005853195825,1.367826927569504
K2A-00y,K2A,K,2,A,0,y,-27.080074021547496,1397.9096901269863,-4.4095222985405425,28.448582100448018,2.7146,51.49597326040619,1.047984310780521
H2P-05z,H2P,H,2,P,5,z,-26.74375986635812,1451.0548062415824,-1.2700081555802667,31.14509624499875,2.8817,50.354124518221276,1.080788987229717
K2A-00z,K2A,K,2,A,0,z,-28.546854960459328,1296.0039717056104,-6.60121605394277,25.87094253044491,2.4478,52.945664339636025,1.0569058963332345
K1A-10c,K1A,K,1,A,10,c,-28.97682294151015,1304.1420758258146,-0.8173701144442596,27.979801463783282,2.5076,52.0075799898634,1.1158000264708599
H2P-02z,H2P,H,2,P,2,z,-27.812883429167556,1422.42510002099,0.31645822246760047,45.41871752140581,2.7765,51.23086980086404,1.635826310873611
H2A-02a,H2A,H,2,A,2,a,-27.340274849078888,1522.7628544086256,-2.938759822870936,34.89967446118871,2.9478,51.65760412540286,1.1839227376751718
H2A-02b,H2A,H,2,A,2,b,-28.678153416555443,1342.8321596113597,-1.6150040478447387,25.988073287251336,2.5435,52.79465931241831,1.0217445758699168
H2A-02c,H2A,H,2,A,2,c,-26.896340979991287,1328.57136559878,-4.605502159444666,25.1682273459938,2.5326,52.45879197657664,0.9937703287528152
H2A-10b,H2A,H,2,A,10,b,-28.7299636375492,1340.7944352797122,-8.02816917821693,34.25411564710324,2.5851,51.86625025259031,1.3250595971955916
H2A-10c,H2A,H,2,A,10,c,-26.001751356154724,1539.180099948704,0.38792138341866805,47.41973780251135,2.9625,51.95544641177061,1.6006662549370922
H3A-10b,H3A,H,3,A,10,b,-26.396335299627182,1300.0727117362885,-3.642058751438345,31.14509624499875,2.5167,51.657834137413616,1.2375371019588648
H3A-50b,H3A,H,3,A,50,b,-27.889806677022467,1389.74287929977,-4.646153483588443,28.214185176745417,2.6772,51.91031224039183,1.0538691609422315
H3A-50c,H3A,H,3,A,50,c,-26.770678547400603,1422.42510002099,-3.6804488895352634,29.151852135998606,2.7546,51.63817251219742,1.0582971079648082
H3A-10a,H3A,H,3,A,10,a,-27.48078092820685,1326.5347333701166,-3.944450020004307,33.843357509975796,2.5772,51.47193595258872,1.3131832030876842
H2A-10a,H2A,H,2,A,10,a,-25.180047056699006,1526.8662297053731,-1.0849968784811508,31.848822051095325,2.8905,52.82360248072559,1.1018447345128985
H2A-50c,H2A,H,2,A,50,c,-26.498273489940704,1324.4982571561657,-4.92945259790398,27.921207599720947,2.5877,51.18438216007133,1.0789970862047744
H2A-05c,H2A,H,2,A,5,c,-26.051297383089945,1350.9846170850697,-1.8504596337043866,30.44148933556634,2.5816,52.331291334252775,1.1791714183284143
H2A-05b,H2A,H,2,A,5,b,-27.91470036517829,1369.336773261571,-5.994440903249145,22.30004097521152,2.6281,52.10367844684643,0.8485233048670722
